,City,State,2021Estimate,2010_census,Change_percent
241,Barcarena,Pará,129333,99859,29.52
242,Guarapari,Espírito Santo,128504,105286,22.05
243,Sertãozinho,São Paulo,128432,110074,16.68
244,Jandira,São Paulo,127734,108344,17.9
245,Uruguaiana,Rio Grande do Sul,126766,125435,1.06
246,Arapongas,Paraná,126545,104150,21.5
247,Birigui,São Paulo,126094,108728,15.97
248,Formosa,Goiás,125705,100085,25.6
249,Paço do Lumiar,Maranhão,125265,105121,19.16
250,Ribeirão Pires,São Paulo,125238,113068,10.76
251,Caraguatatuba,São Paulo,125194,100840,24.15
252,Três Lagoas,Mato Grosso do Sul,125137,101791,22.94
253,Santana,Amapá,124808,101262,23.25
254,Votorantim,São Paulo,124468,108809,14.39
255,Colatina,Espírito Santo,124283,111788,11.18
256,Várzea Paulista,São Paulo,124269,107089,16.04
257,Itatiba,São Paulo,124254,101471,22.45
258,Tatuí,São Paulo,124134,107326,15.66
259,Barretos,São Paulo,123546,112101,10.21
260,Codó,Maranhão,123368,118038,4.52
261,Guaratinguetá,São Paulo,123192,112072,9.92
262,Catanduva,São Paulo,123114,112820,9.12
263,Bento Gonçalves,Rio Grande do Sul,123090,107278,14.74
264,Itabira,Minas Gerais,121717,109783,10.87
265,Bagé,Rio Grande do Sul,121518,116794,4.04
266,Senador Canedo,Goiás,121447,84443,43.82
267,Almirante Tamandaré,Paraná,121420,103204,17.65
268,Salto,São Paulo,120779,105516,14.47
269,Igarassu,Pernambuco,119690,102021,17.32
270,Novo Gama,Goiás,119649,95018,25.92
271,Poá,São Paulo,119221,106013,12.46
272,Paulo Afonso,Bahia,119213,108396,9.98
273,Araguari,Minas Gerais,118361,109801,7.8
274,Ubá,Minas Gerais,117995,101519,16.23
275,Altamira,Pará,117320,99075,18.42
276,Piraquara,Paraná,116852,93207,25.37
277,Tucuruí,Pará,116605,97128,20.05
278,Parintins,Amazonas,116439,102033,14.12
279,Passos,Minas Gerais,115970,106290,9.11
280,Paragominas,Pará,115838,97819,18.42
281,Eunápolis,Bahia,115360,100196,15.13
282,Ourinhos,São Paulo,115139,103035,11.75
283,São Lourenço da Mata,Pernambuco,114910,102895,11.68
284,Paulínia,São Paulo,114508,82146,39.4
285,Açailândia,Maranhão,113783,104047,9.36
286,Umuarama,Paraná,113416,100676,12.65
287,Catalão,Goiás,113091,86647,30.52
288,Corumbá,Mato Grosso do Sul,112669,103703,8.65
289,Santa Cruz do Capibaribe,Pernambuco,111812,87582,27.67
290,Tailândia,Pará,111554,79297,40.68
291,Ariquemes,Rondônia,111148,90353,23.02
292,Coronel Fabriciano,Minas Gerais,110709,103694,6.77
293,Muriaé,Minas Gerais,109997,100765,9.16
294,Patos,Paraíba,108766,100674,8.04
