,Country,1980,1985,1990,1995,2000,2008,2009,2010,2011,2012,2013,2014,2015,2018
131,Mauritius,0.6,0.7,1.4,1.6,2.3,3.0,3.0,3.1,3.1,3.2,3.2,3.4,3.2,3.5
132,Mexico,3.9,3.7,3.7,3.5,3.9,4.3,4.1,4.0,4.1,4.1,4.0,3.9,3.9,3.8
133,Federated States of Micronesia,0.0,0.0,0.0,1.0,1.2,1.1,1.6,1.1,1.2,1.3,1.4,1.4,0.0,0.0
134,Moldova,0.0,0.0,0.0,3.0,1.0,1.3,1.3,1.4,1.4,1.4,1.4,1.4,2.0,2.1
135,Monaco,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
136,Mongolia,4.1,4.7,4.6,3.4,3.1,4.6,4.9,5.1,7.8,9.3,13.5,7.1,5.8,6.3
137,Montenegro,0.0,0.0,0.0,0.0,0.0,4.5,3.0,4.2,4.1,3.8,3.6,3.6,6.0,6.3
138,Morocco,0.8,0.8,0.9,1.1,1.2,1.7,1.6,1.7,1.8,1.9,1.7,1.7,1.8,1.9
139,Mozambique,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.3
140,Myanmar,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.4,0.5,0.6
141,Namibia,0.0,0.0,0.0,1.0,0.9,1.6,1.4,1.4,1.3,1.5,1.1,1.6,1.7,1.7
142,Nauru,16.7,15.3,13.6,10.7,8.4,4.4,4.1,4.4,4.0,3.9,4.1,4.0,0.0,0.0
143,Nepal,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3
144,Netherlands,12.5,10.2,10.6,11.6,10.9,10.8,10.4,11.0,10.4,10.2,10.3,9.9,10.0,9.5
145,New Caledonia,14.3,9.4,9.3,10.7,10.5,11.8,12.1,14.2,14.3,14.0,16.1,16.0,18.7,26.2
146,New Zealand,5.6,6.7,7.1,7.4,8.5,8.0,7.5,7.3,7.2,7.7,7.5,7.7,7.8,7.7
147,Nicaragua,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.0
148,Niger,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
149,Nigeria,0.9,0.8,0.4,0.3,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.6
150,Norway,9.3,9.8,7.4,7.7,8.8,11.7,11.5,12.3,9.1,9.9,11.5,9.3,8.8,9.4
151,Oman,5.2,5.8,6.3,7.2,9.7,15.5,14.3,15.6,16.7,17.1,16.5,15.4,18.8,17.6
152,Pakistan,0.4,0.5,0.6,0.7,0.8,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,1.0
153,Palau,12.9,11.8,15.6,13.6,13.0,12.5,12.1,12.4,12.3,12.2,12.3,12.3,56.1,58.0
154,Panama,1.6,1.2,1.1,1.1,1.9,2.1,2.4,2.5,2.7,2.7,2.8,2.3,2.9,2.8
155,Papua New Guinea,0.6,0.6,0.5,0.4,0.5,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.5,0.5
156,Paraguay,0.5,0.4,0.5,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.0,1.1
157,Peru,1.4,1.0,1.0,1.0,1.2,1.4,1.8,2.0,1.7,1.8,1.9,2.0,1.7,1.8
158,Philippines,0.8,0.5,0.7,0.9,0.9,0.9,0.8,0.9,0.9,0.9,1.0,1.1,1.2,1.4
159,Poland,13.1,12.0,9.7,8.9,7.8,8.3,7.8,8.3,8.3,7.9,7.9,7.5,8.0,8.8
160,Portugal,2.8,2.7,4.2,5.2,6.1,5.3,5.1,4.6,4.5,4.4,4.3,4.3,5.0,5.1
161,Puerto Rico,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9
162,Qatar,58.5,33.4,24.7,61.9,58.6,46.7,43.5,40.7,41.2,44.6,37.8,45.4,39.4,38.2
163,Réunion,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.4
164,Romania,8.8,8.5,7.5,5.6,4.0,4.7,4.0,3.9,4.2,4.1,3.6,3.5,4.0,4.1
165,Russia,0.0,0.0,0.0,11.0,10.6,12.0,11.0,11.7,12.3,12.8,12.4,11.9,11.8,12.1
166,Rwanda,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
167,Samoa,0.6,0.7,0.6,0.7,0.8,1.0,1.0,1.0,1.1,1.0,1.0,1.0,0.6,0.7
168,San Marino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.8
169,São Tomé and Príncipe,0.4,0.5,0.4,0.4,0.3,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7
170,Saudi Arabia,17.4,13.1,11.4,12.6,14.3,16.6,17.6,18.9,17.7,19.4,18.1,19.5,19.3,18.6
171,Senegal,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.7
172,Serbia,0.0,0.0,0.0,0.0,0.0,7.1,6.3,6.3,6.8,6.1,6.3,5.3,6.0,6.3
173,Seychelles,1.5,2.3,2.2,2.6,7.1,8.0,6.0,4.9,3.9,5.0,4.5,5.4,9.5,10.3
174,Sierra Leone,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
175,Singapore,13.0,12.2,14.6,12.0,12.2,7.5,11.2,11.0,8.7,6.8,10.3,10.3,9.3,9.7
176,Sint Maarten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,19.5,19.5,0.0,0.0
177,Slovakia,0.0,0.0,0.0,7.9,6.7,7.0,6.3,6.7,6.4,6.1,6.1,5.7,6.4,7.0
178,Slovenia,0.0,0.0,0.0,7.2,7.2,8.6,7.5,7.5,7.4,7.2,6.9,6.2,6.9,7.5
179,Solomon Islands,0.4,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2
180,Somalia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1
181,South Africa,7.7,9.6,8.3,8.6,8.3,9.9,9.9,9.2,9.0,8.8,8.7,9.0,8.6,8.3
182,South Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.4,0.4
183,Spain,5.7,5.2,5.6,6.1,7.3,7.2,6.2,5.8,5.8,5.7,5.1,5.0,5.9,6.0
184,Sri Lanka,0.2,0.2,0.2,0.3,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1.0,1.1
185,"Saint Helena, Ascension and Tristan da Cunha",0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,4.4
186,Saint Kitts and Nevis,1.2,1.2,2.6,3.0,3.8,4.3,4.4,4.3,4.4,4.2,4.2,4.3,4.4,4.4
187,Saint Lucia,1.0,1.0,1.2,2.1,2.1,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.1,2.1
188,Saint Pierre and Miquelon,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.5
189,Saint Vincent and the Grenadines,0.4,0.6,0.8,1.2,1.4,2.1,2.9,2.0,1.8,2.3,1.9,1.9,1.6,1.7
190,Sudan,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.4,0.4
191,Suriname,6.5,4.3,4.3,4.7,4.6,3.8,3.8,4.6,3.7,4.2,3.5,3.6,3.8,4.0
192,Sweden,8.6,7.5,6.1,6.2,5.6,5.3,4.6,5.5,5.5,4.9,4.7,4.5,4.5,4.5
193,Switzerland,6.4,6.2,6.3,5.6,5.4,5.3,5.4,5.0,4.7,4.7,5.0,4.3,4.8,4.8
194,Syria,2.3,2.8,3.0,2.9,3.1,3.3,3.0,2.9,2.7,2.2,1.8,1.6,1.6,1.6
195,Taiwan,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,12.0
196,Tajikistan,0.0,0.0,0.0,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.7
197,Tanzania,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
198,Thailand,0.8,0.9,1.6,2.7,2.9,3.8,4.0,4.2,4.1,4.4,4.4,4.6,4.0,4.1
199,Timor-Leste,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.2,0.2
200,Togo,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4
201,Tonga,0.4,0.5,0.8,1.0,1.0,1.2,1.3,1.1,1.0,1.0,1.1,1.1,1.1,1.1
202,Trinidad and Tobago,15.6,17.7,13.9,13.6,18.8,33.7,34.0,36.1,35.2,33.9,34.5,34.2,26.7,26.2
203,Tunisia,1.5,1.6,1.6,1.7,2.1,2.4,2.4,2.6,2.4,2.5,2.5,2.6,2.7,2.8
204,Turkey,1.7,2.2,2.7,2.9,3.4,4.0,3.9,4.1,4.4,4.4,4.3,4.5,4.7,5.1
205,Turkmenistan,0.0,0.0,0.0,8.1,8.3,11.5,10.1,11.3,12.1,12.3,12.4,12.5,13.4,14.4
206,Turks and Caicos Islands,0.0,0.0,2.5,3.1,3.7,6.1,5.9,6.2,6.0,6.1,6.0,6.1,4.8,4.7
207,Tuvalu,0.0,0.0,0.8,0.8,0.8,1.1,1.1,0.7,0.7,1.0,1.0,1.0,0.0,0.0
208,Uganda,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
209,Ukraine,0.0,0.0,0.0,8.7,6.5,6.7,5.6,6.6,6.3,6.5,6.0,5.0,4.8,4.5
210,United Arab Emirates,35.4,35.9,28.0,28.8,35.7,22.8,21.9,19.4,19.1,19.8,19.0,23.3,22.1,22.4
211,United Kingdom,10.3,9.9,9.7,9.3,9.2,8.4,7.6,7.9,7.1,7.4,7.1,6.5,6.3,5.6
212,United States,20.8,18.9,19.3,19.3,20.2,18.5,17.2,17.4,17.0,16.3,16.3,16.5,16.3,16.1
213,Uruguay,2.0,1.1,1.3,1.4,1.6,2.5,2.4,1.9,2.3,2.6,2.2,2.0,2.0,2.0
214,Uzbekistan,0.0,0.0,0.0,4.5,4.9,4.5,3.9,3.6,3.9,3.9,3.4,3.4,3.4,3.1
